article,label
"To be competitive, Filipino seafarers must be highly skilled and computer savvy, according to the Maritime Industry Authority (Marina).Marina Administrator Marcial Quirico Amaro 3rd stated this during the launching of the 10-year Maritime Industry Development Program (MIDP) Program at the SM Mall of Asia in Pasay City last week. Amaro said the country needs to produce more computer literate seafarers and port workers because of changing technology in ship management.“We want to be able to produce doable and sustainable programs coming from all stakeholders in the industry to be able to produce highly qualified seafarers. We also want to create a robust shipbuilding industry, a dynamic shipping hub and sustainable fishing sector to make the Philippines a major maritime country not just in Asia but the world,” Amaro said during the event that was held in partnership with the SM Global Pinoy.He said it was the first time in decades that the Department of Transportation through Marina is formulating a 10-year development plan for the entire maritime industry, which includes manpower training and development, regulations, shipyard, local and overseas shipping and fishing.The Marina head pointed out that while the Philippines is an archipelagic country, it has not maximized itsstrategic location in Asia to become a major maritime and seafaring nation. He pointed out that there are many challenges in the maritime industry, especially with respect to development of seafarers and port workers.He said there is a need to retool seamen on the latest technology to keep their competitiveness in the world market. “We are still among the leading providers of seafarers in the world but many countries are studying to be equally competitive if not more competitive and are ready to take our place if we fail to cope with the changing times. They are just waiting to lose our competitiveness,” Marcial added.Filipino seafarers contribute around P270 billion a year to the Philippine economy. Currently there is a shortage of 16,500 merchant marine officers . The figure is expected to increase to 92,000 in 2020 and balloon to 147,000 in 2025 from increasing demand.In order to address the need for more highly qualified workers for shipboard assignments and shore-based jobs, Amaro said Marina is set to take over the National Maritime Polytechnic (NMP), the government’s training center for the maritime industry located in Tacloban City, Leyte.He said NMP, currently under the Department of Labor and Employment (DOLE), should not be competing with the private sector in training maritime workers but should instead be a tool to make existing workers more competitive for the local and international market.",1
"I've seen Pinoys in Britain over-react, because of simple misunderstanding of British comedy. Being able to take a joke is important, to fitting in and adapting to a country like Britain (or any Anglo country). It's something older Filipinos seem to miss, but that does not mean they are not pilloried by comedians. I much prefer a Filipino comic to insult Filipino culture, because there is a context. It's so hard to miss when you are describing another culture.In 2013, when asked ""unlikely lines from a cosmetics commercial"", comic Katherine Ryan replied ""We don't test any of our products on animals. We use Filipino Children"".It was obviously not intended as an insult towards Filipino children, but I had trouble with her bitter retaliation over the misunderstood, but badly judged joke, in her 2017 special.She used a stereotypical Chinese accent to pillory Filipinos, and said that the ghost of Joan Rivers told her that Filipinos are ""as bad at understanding satire as they are at running away from tsunamis"". Why did she have to hide behind the spectre of Joan Rivers to further insult people who did nothing to her to begin with?It's easy to mock a minority who have no voice in Britain, and can't respond through the platform of a comedy special. You will NEVER ever hear a British comedian mock Jamaicans or Indians in this manner, even though both those countries have child slave labour, because comedians like Ryan are cowards. They will claim that they don't single anyone out, and say things about all races, but this is BS. It's a very rare, and brave comedian, who will mock all races equally.Maybe it's hard to understand why it is not hilarious to attack children living in poverty, making clothes for people like Katherine Ryan, who gladly defends her cruelty towards animals because its ""not illegal, just frowned upon"".A bit like racism.She may claim, that she was attacking cosmetic companies. Fair enough, but she invalidates that argument when she doubles down on a bigoted remark. She is a comedian, in multicultural London, and she has no idea what Filipino's sound like? They don't have Chinese accents. It's just sloppy to assign a Chinese accent to Filipinos, (this in itself, is a racist caricature).I get that the irony was sadly missed by Filipinos. But she chose to just lash out at a group that in her calculation, and in the calculation of many white British people, is OK to be bigoted towards. Just don't make fun of Jamaicans, Africans, Indians, Pakistani's, and other former subjects of the British empire. It's open season on every other ethnic group.She could have said that Filipinos can no more outrun a tsunami than the Irish can flee from a bottle of whiskey?You're an immigrant Katherine Ryan, but you have adopted a nasty British vice - insulting immigrants, while simultaneously forgetting that you yourself are one.--------------------------------------This is a GRP Featured Commment. Join the discussion",0
"Netizen Dan Jimenez posted a special report made by authors hiding in pseudonym ‘Dimasalang’, ‘Mulawin’ and ‘Judea’ on how the Filipino journalist and foreign correspondents allegedly earned money by making up stories to discredit the war on drugs of the current administration.According to the unpublished book written by an unnamed reporter from Reuters, payment inside fat envoloes were delivered to the journalists who wrote the most discrediting stories about President Rodrigo Duterte.Media outlets who picked up the discrediting stories with unsubstantiated claims allegedly received $50,000 (PHP 2,500,000) from the people who funded the destabilization against President Duterte.A whistleblower journalist who claimed that he cannot live with the lies and deceit anymore revealed some of the informations about the alleged payments received by media outlets to discredit the current administration.Unnamed source also said that the people who funded the discrediting stories about President Duterte’s War On Drugs are likely the people who will benefitted by the failure of the current administration.He also revealed the news organizations,allegedly involved in the orchestrated move to discredit the war on drugs of President Duterte.The source cited four international media companies and two media companies based in the Philippines these are the list:Time Magazine (International)The Washington Post (International)The New York Times (International)The Daily Mail (International)The Inquirer (Local)ABS-CBN (Local)This are the full post wrote by Dan Jimenez:Special Report: Journalists describe lie rewards, made up crime stories in Duterte’s drug war By Dimasalang, Mulawin & Judea Philippine Journalists and foreign correspondents have received cash payments for making up stories and reporting unsubstantiated claims to discredit Duterte’s war on drugs. Detailed in a yet unpublished book written by an unnamed Reuters’ reporter, payments in fat envelopes were delivered almost like clockwork to those who wrote the most outrageous claims. False stories that are picked up by main media outlets and syndicated shows mete the most money to the tune of $50,000 per story at least. The whistle blower journalist confessed that he could not live with the lies and the deceit anymore and that truth which he had sworn to uphold became the first casualty in Duterte’s war on drugs. How prevalent is the payola? Our unnamed source confirmed that there are a lot more money to be had and that news organizations are dipping like crazy into the pot. He cited the competition provided by social media as one of traditional media’s killer, thus the impetus to look for another source of income. Asked who are the financiers in the effort to discredit the war on drugs, he categorically stated, those who will profit from its failure. And that the drug killings attributed to Duterte are the best arguments to oust him whether such can be proven or not. Asked to name the news organizations involved in the orchestrated move to discredit the drug war, he cited Reuters, Time Magazine, The Washington Post, The New York Times, The Daily Mail, The Inquirer and ABS-CBN. Attempts to get reactions from the said media outlets remain unanswered as of this writing.Since President Duterte started it’s bloody war on drugs, he was already bombarded by criticisms and negative stories from several media outlets.Supporters of President Duterte attacked the media outlets and accused of being paid by drug lords to write stories against the war on drugs.President Duterte itself criticized two media outlets for writing ‘unfair stories’ about his actions against criminals.",0
"The Philippine Constitution Association (Philconsa) has urged the Supreme Court (SC) to intervene in an apparent feud between the House of Representatives and the Court of Appeals (CA) over the continuing detention of six employees of the Ilocos Norte provincial government.In a statement, Philconsa over the weekend asked the SC to “defend, preserve and protect the Constitution,” particularly by urging the High Court to act on a letter of three CA justices seeking an advisory opinion on the “unexpected, unorthodox reaction” of the House leadership after the appellate court issued a writ of habeas corpus in favor of the “Ilocos 6” and ordered their release on bail.Philconsa chairman Manuel Lazaro and president Ferdinand Martin Romualdez called on the SC to resolve the CA justice’s letter as an administrative matter and issue a decision to settle the conflict.“This is the judicial process/vehicle to enable the Supreme Court [to] resolve the clashing postures, in order to avert a constitutional crisis,” Philconsa explained.It said the SC is mandated under the Constitution to act “as the final arbiter of constitutional questions/legal controversies.”The SC has a duty to “interpret and allocate the jurisdictional boundaries of the rights and obligations of the parties involved when a writ of habeas corpus is issued,” Philconsa added.It maintained that the House is duty-bound to abide by whatever decision the SC will render on the matter.“In the remote event the House still refuses to honor and execute the resolution/decision of the Supreme Court in the administrative matter, the President shall undoubtedly execute or implement the decision of the Supreme Court, as mandated by his oath of office to preserve and defend the Constitution and execute its laws,” Philconsa said.The “Ilocos Six” have been detained since May 29 at the Batasang Pambansa in Quezon City for their alleged refusal to shed light on the reported misuse of P66.45 million in tobacco levy funds to buy vehicles under the watch of Ilocos Norte Gov. Imee Marcos.Through their counsel, former Solicitor General Estelito Mendoza, they were able to convince the CA to issue a writ of habeas corpus in their favor and order their release on bail.In response, the House leadership threatened to hold three CA justices in contempt, arguing that their issuance of the cited writ constituted an intrusion into the exclusive power of Congress to conduct investigations in aid of legislation.The CA justices are Associate Justices Stephen Cruz, Edwin Sorongon and Nina Antonio-Valenzuela.The six Ilocos Norte provincial workers are Pedro Agcaoili (Provincial Planning and Development Office chairman); Josephine Calajate (provincial treasurer); Eden Battulayan, Encarnacion Gaor and Genedine Jambaro (Provincial Treasurer’s Office staff); and Evangeline Tabulog (provincial budget officer).",1
"also has punished Russia for its provocations in Ukraine. Voicing the view of many in Europe, May said, “We believe the sanctions should continue.”Vice President Mike Pence was expected to join the call, but not others that Trump planned on Saturday with the leaders of Japan, Germany, France and Australia.Two Republican senators —Arizona’s John McCain, chairman of the Armed Services Committee, and Ohio’s Rob Portman, a member of the Foreign Relations Committee —also warned the White House about easing any punishments on Moscow and they pledged to turn the sanctions into law.“I hope President Trump will put an end to this speculation and reject such a reckless course,” McCain said in a statement. “If he does not, I will work with my colleagues to codify sanctions against Russia into law.”Portman said lifting the sanctions “for any reason other than a change in the behavior that led to those sanctions in the first place would send a dangerous message to a world already questioning the value of American leadership and the credibility of our commitments after eight years of Obama administration policies.”Russia’s security chief, Nikolai Patrushev, was quoted by the Interfax news agency as saying he had high hopes for the call. “Everything will be positive,” Patrushev said.U.S. intelligence officials have concluded that Moscow meddled in the 2016 election to help Trump become president.Obama in late December ordered sanctions on Russian spy agencies, closed two Russian compounds and expelled 35 diplomats that the United States said were really spies. The new penalties add to existing U.S. sanctions over Russia’s actions in Ukraine, which have damaged Russia’s economy but only limited impact on Putin’s behavior.In 2014, Russia annexed Crimea in Ukraine, drawing widespread condemnation in Europe and the United States and a raft of penalties.McCain has emerged as a frequent critic of Trump among Capitol Hill Republicans. He takes a dim view of trying to reset relations with Moscow and says Trump should remember that Putin is “a murderer and a thug who seeks to undermine American national security interests at every turn.”“For our commander in chief to think otherwise would be naive and dangerous,” McCain said.McCain and Portman are part of a bipartisan group of senators who have introduced legislation designed to go beyond the punishments against Russia already levied by Obama and to demonstrate to Trump that forcefully responding to Moscow’s meddling isn’t a partisan issue.The bill would impose mandatory visa bans and freeze the financial assets of anyone who carries out cyberattacks against public or private computer systems and democratic institutions.The legislation also mandates sanctions in Russia’s all-important energy sector and on investments in the development of civil nuclear projects to rebuke Moscow for its provocations in eastern Ukraine and military support for Syrian President Bashar Assad.",1
"The Sandiganbayan’s Fifth Division will start trying in September graft cases filed against former senator Jose “Jinggoy” Estrada and several other individuals in connection with the Priority Development Assistance Fund (PDAF) or pork barrel scam.Pretrial of the cases was terminated on Monday as the prosecution and the defense finished marking evidence that they intend to present during trial.The court set the trial on September 4 and every other Monday thereafter.It ordered issuance of the pretrial order, which will be signed by the parties and their lawyers.A pretrial order lists the number of hearing dates, as well as the witnesses to be presented and the issues to be resolved during the trial.Meanwhile, the pretrial of the related plunder case was terminated last month and the court will begin trying this case on June 19.Estrada was charged with plunder along with his former aide Pauline Labayen (at large) as well as Janet Lim-Napoles and John Raymund de Asis.The former senator was charged with graft along with Labayen; Napoles; de Asis; former Department of Budget and Management Undersecretary Mario Relampagos as well as Marilou Bare, Lalaine Paule and Rosario Nuñez, who were DBM employees at the time material to the cases; former National Agribusiness Corp.President Allan Javellana and former Nabcor employees Maria Julie Villaralvo-Johnson, Rhodora Mendoza, Victor Cacal, Maria Ninez Guañizo and Romulo Relevo; former Technology Resource Center Directors General Antonio Ortiz and Dennis Cunanan as well as former TRC employees Francisco Figura, Marivic Jover, Ma. Rosalinda Lacsamana and Consuelo Lilian Espiritu; and former National Livelihood and Development Corp. President Gondelina Amata as well as former NLDC employees Emmanuel Alexis Sevidal, Chita Jalandoni, Sofia Cruz, Evelyn Sucgang and Gregoria Buenaventura.Estrada is one of three former senators, including Ramon “Bong” Revilla Jr. and Juan Ponce Enrile, who were charged in 2014 along with alleged pork scam mastermind Janet Lim-Napoles and several other individuals in connection with the PDAF scam.Both Estrada and Revilla are detained at the Philippine National Police Custodial Center, while Enrile is out on bail after the Supreme Court granted his bail petition on humanitarian grounds.",1
"Hundreds of unarmed Japanese Americans took over the Longacre Theater beginning midnight today to protest the impending closure of the Broadway Musical Allegiance.The musical will end its run on February 14, after only 37 previews and 113 performances.Allegiance, starring Tony Award-winning actress Lea Salonga and George Takei, tackles the issue of the internment of Japanese Americans during World War II.The protesters stormed the theater and occupied every seat — every single one of the 1,091 seats.A spokesperson for the protesters said they got the idea from the recent occupation by an armed militia group of the headquarters of the U.S. Fish and Wildlife Service’s National Wildlife Refuge in Oregon.Neither the New York Police Department nor the Federal Bureau of Investigation has acted on the Broadway occupation, saying they considered it a peaceful protest and definitely not an act of terrorism.The Japanese American protesters said they will continue to occupy the theater until the producers agree to extend the run of the musical indefinitely. “The musical is a once-in-lifetime opportunity for Americans and others to be educated about the internment of our friends and relatives during the war,” they said.The protesters also set up an online crowdsourcing page in order to raise funds to pay for a daily full house at the theater for a long time.In the meantime, the protesters are requesting the public and supporters to send them enough supply of SPAM sushi and sake to keep them nourished during their sit-in protest.",0
"One of the most viral videos this month was uploaded by Ralph Davenz Altea, a netizen who claimed that he and his brother was manhandled by a Pasay cop identified as PO2 Manuel Taytayon during a road rage incident in Malibay Pasay on Wednesday.The video reached hundreds of thousands of reactions and shares from the netizens, but not all of them criticized the cop, instead they defended him because of the provocative actions by the two brothers in the video.A netizen who watched the video claimed that he witnessed the whole incident of the road rage in Pasay and revealed what really happened behind the video recorded and uploaded by Altea on Facebook.Meli, a concerned citizen commented on one of the video reports uploaded by GMA News in their Facebook fanpage said that he witnessed how the ‘boastful’ Altea brothers provoked the old cop.In his comment, Meli said that after the accompanied his girlfriend to Malibay, Pasay, he saw the Altea brothers trying to provoke PO2 Taytayonand trying to bully the old cop to make him more angry.He also said that it’s not true that PO2 Taytayon who’s going to retire next year pointed his gun to the brothers which Ralph Altea claimed in the video.“Nanjan ako non, hinatid ko ang girflriend ko sa Malibay [pasay]. Hindi naman sila tinutukan eh. Mayabang yung magkapatid, pino-provoke nila si manong, binubully para lalong magalit,” Meli said.“Nag video para kunwari sila ang biktima, pero ang totoo sila talaga yung mayayabang. Kung ayaw nyo maniwala, kita naman sa salita sa video, maangas at mayabang talaga.” he added.Meli also narrated how the Altea brothers confronted the car of PO2 Taytayon after the cop honked his car horn to them three times. He said that he witnessed everything even before the Altea brothers used their phone to record the whole incident.The netizen believes that no good cop would point his gun in a crowded place just because of a traffic argument.He said that PO2 Taytayong might got provoked by the Altea brothers because the two shouted at his wife.“Actually madaming tao diyan. Sino namang matinong pulis ang manunutok ng baril sa simpleng pagsaway lang sa kanila? Masikip kasi yung daanan diyan, nung nabusinahan sila, kinatok nila at sinigawan yung nasa loob ng kotse, bumaba si manong kasi misis niya yung nasa part na sinigawan. Di pa naglalabas ng video ang mga bata that time,” Meli said.Meli said that he understand why PO2 Taytayon confronted the Altea brothers, because the Pasay cop only wanted to defend his wife from the people who shouted at her.He also said that when the brothers saw that PO2 Taytayon was armed by a gun, they started to record a video to provoke the Pasay cop.“Normal na galit lang si manong kasi nabastos misis niya, hanggang sa mainis na si manong kasi mayayabang talaga yung magkapatid lalo na yung nagsasalita. Kung makita nila na may naka sukbit na baril, naglabas ng video pero di naman tinutok, inaasar talaga nila, yun lang.” he said.The version of Meli is the same of what PO2 Taytayon told GMA news. In an interview Taytayon said that the brothers knocked at his car window and after he opened it, the two shouted at them and cursed them.We reached Meli and he said that he doesn’t want to be called by the police to ask for his official testimony because he’s ‘busy’“Pagkatok ni sir dito, [car window] ang lakas matapos noong ibinaba ko eh nandito ang asawa ko sabi niya eh.. ano ha? ******!” Taytayon told GMA news.Some netizens reacted on the testimony of Meli, saying that the side of the cop must be heard also.“Hays kawawa si manong” Martha D. Sim said after he read the comment of Meli on Facebook.NCRPO chief Director Oscar Albayalde also confirmed the relief of Police Officer 2 Manuel Taytayon after the road rage incident that went viral on social media.He ordered the Regional Investigation and Detective Management Division (RIDMD) to conduct a thorough and speedy investigation of the case against Taytayon.“Kung mapapatunayan na may paglabag si PO2 Taytayon, ay hindi po mangingimi ang NCRPO na patawan sya ng karampatang parusa,” he said.PART 1:<iframe style=”border: none; overflow: hidden;” src=”https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Fralph.davenz%2Fvideos%2F10207687754592068%2F&show_text=0&width=225″ width=”225″ height=”400″ frameborder=”0″ scrolling=”no” allowfullscreen=”allowfullscreen”></iframe>PART 2:<iframe style=”border: none; overflow: hidden;” src=”https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Fralph.davenz%2Fvideos%2F10207687755632094%2F&show_text=0&width=225″ width=”225″ height=”400″ frameborder=”0″ scrolling=”no” allowfullscreen=”allowfullscreen”></iframe>PART3:<iframe style=”border: none; overflow: hidden;” src=”https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Fralph.davenz%2Fvideos%2F10207687756472115%2F&show_text=0&width=225″ width=”225″ height=”400″ frameborder=”0″ scrolling=”no” allowfullscreen=”allowfullscreen”></iframe>PO2 Taytayon also filed Cyberbullying and Online Libel charges against the two brothers who destroyed his reputation.However, another video taken several months ago showed that PO2 Taytayon confronted a group of cyclists in Mall of Asia.The uploader of the video said that they were threatened by PO2 Taytayon after they violated some rules of the place.",0
"The Office of the Ombudsman has dismissed a graft complaint filed by the Lapanday Foods Corporation (LFC) against Department of Agrarian Reform (DAR) Secretary Rafael Mariano and Undersecretary Luis Pañgulayan.LFC had also accused the two DAR officials of grave misconduct, conduct prejudicial to the best interest of the service and oppression/grave abuse of authority in the complaint that it filed last month.According to a Notice of Dismissal addressed to the firm, the Office of the Ombudsman said in part, “A resolution on the allegations of the complaint cannot be done by the office without passing upon the issues concerning the validity of the issuances and the writ’s implementation. Stated differently, complainant is indirectly assailing in this complaint the legality of the issuances and the writ’s implementation, which the Office cannot take cognizance of since these issues should be addressed to the proper forum.”“Clearly, complainant is presently seeking reliefs from the Regional Trial Court [RTC] of Davao City through its pending petition for indirect contempt and from the Court of Appeals (8th Division) in its pending petition for certiorari. These are adequate remedies that are available to complainant and which it is indeed currently availing of in the regular courts,” it added.The Office of the Ombudsman thus dismissed the complaint outright “for want of palpable merit and complainant has an adequate remedy in another forum.”LFC alleged in its complaint that Mariano committed graft when he issued a cease and desist order last December which, according to LFC, prohibited it from evicting the members of the Madaum Agrarian Reform Beneficiaries Association Inc. [Marbai] from their “occupied” areas.The order “gave a stamp of approval to the forcible taking by MarbaiI members of the Sanid area” and “emboldened the Marbai members to chop the bananas of HEARBCO-1, and to destroy the facilities of LFC in the banana plantation,” the firm also alleged.HEARBCO-1 is the Hijo Employees Agrarian Reform Beneficiaries Cooperative-1.LFC also alleged that Pañgulayan committed graft when he supposedly “publicly announced to the Marbai members on December 19, 2016 that by virtue of the cease and desist order, the Marbai members could already harvest the bananas in the Sanid area and sell them to third parties despite knowing that LFC has the exclusive right to manage the Sanid area and to purchase the Cavendish bananas of HEARBCO-1, pursuant to a final and executory Order of the RTC of Davao City, and that the DAR has no authority to annul a final and executory order of the regular courts.”The firm was referring to a meeting called last December 19 by the Office of the City Mayor of Tagum City between LFC, HEARBCO-1, and Marbai to discuss a possible win-win solution.The 157.5-hectare Sanid area refers to areas in HEARBCO-1’s banana plantation that had suffered deterioration and that were turned over to LFC management for rehabilitation and operation.According to the complaint, LFC is the exclusive buyer of Cavendish bananas produced from the banana plantation.A disease outbreak in 2004 spoiled the bananas in the farm and caused production to drop, which led to the deterioration of the plantation.According to the complaint, the “No Group” members who organized themselves as Marbai in 2012 did not want to honor a compromise agreement between HEARBCO-1 and LFC that was signed in 2011.“In the compromise agreement, the areas of HEARBCO-1’s banana plantation which suffered deterioration were denominated as ‘Poor Areas’ while those which remained in good condition were termed as ‘Good Areas.’The poor areas consisting of 157.5 hectares were turned over to the management of LFC for rehabilitation and operation. This area is called the Sanid Area. LFC likewise advanced the operational requirements of the farm in order to ensure that the farm receives adequate farm inputs and technical support,” LFC said.",1
"Vice President Leni Robredo was dismayed over the deportation of Australian nun Patricia Fox, whom she believed was “more Filipino” from her decades of missionary work in the country.“Nakakalungkot na pinaalis siya dito sa atin. Sabi ko nga, parang mas Pilipino pa siya kaysa sa marami sa atin (It is disappointing that she was deported from our country. In my opinion, she seemed more like a true Filipino than many of us here),” Robredo said in her weekly radio show.Robredo added that she was disappointed with the “political” decision of the government to expel Fox out of the country.“Nakakalungkot na pulitika iyong naging dahilan. Nakakalungkot na iyong pagpahayag ng mga saloobin, parang, kailangan parati mong pagbayaran (It is saddening how politics became the reason behind all this. It is saddening how voicing out one’s opinion against the government has to pay for it all the time),” the Vice President said.Fox left the country on Saturday night and headed back to Australia after months of legal battle with the Bureau of Immigration (BI) that ordered her deportation and downgraded her missionary visa.President Rodrigo Duterte had accused Fox of “meddling with internal politics” from her participation in a series of protests in Mindanao.The 71-year-old nun, who has stayed in the country for 27 years, previously reiterated that participating in assemblies of farmers and workers, who demand for just wages and humane work conditions, are not political activities but moves to help protect the rights of the poor and the needy.Robredo, on the other hand, said that Fox’s departure will likely be temporary.“Parating sa huli, kabutihan ang mananaig. Kaya tingin ko dadating iyong panahon na babalik din si Sister sa atin at ipagpapatuloy iyong misyon niya para tulungan iyong mga Pilipino (In the end, the good always prevails. That is why I think that there will come a time when Sister will come back to us and continue her mission to help the Filipinos),” she said.Rights and labor groups also thanked Fox for her “exemplary service” dedicated to their sectors.“Sister Pat’s exemplary service to the Filipino people through her missionary work among the country’s poor communities cannot be denied. Only those who detest the poor would want [her] out of the Philippines,” Karapatan Alliance for the Advancement of People’s Rights said in a statement.Anakpawis Party-list Rep. Ariel Casilao added that Fox’s advocacy for “a just Filipino society” will continue even after leaving the country.“Definitely this is not the end but rather another chapter of her advocacy for further advancing not only human rights but also needed social reforms for the poor sectors of our country,” he added.",1
