article,label
"BUHAY Partylist Rep. Lito Atienza urged his colleagues at the House of Representatives and the business sector to support his measure that seeks to institutionalize profit sharing.The senior deputy minority leader said House Bill 2625 “seeks to help our countrymen benefit from economic improvement by making sure this trickles down to our daily wage earners.”“At present, the Philippine economy is growing at a fast pace owing largely to the billions of dollars from our Overseas Filipino Workers (OFWs), as well as the BPO industry. If the investors and financiers are making so much money today, they should be sharing more with our low wage earners and rank and file. This bill aims to guarantee that the movement in our economy is immediately shared to the lowest levels,” Atienza said during the hearing of the Committee on Labor and Employment.Under the bill, all business establishments that made a profit for a fiscal year shall annually distribute 10 percent of their net income to all their employees, both regular and contractual. The total amount given by the company thru profit sharing shall be tax creditable.“This entails no sacrifice on the part of the investors because whatever is shared with their employees becomes tax-deductible for the succeeding year. When we filed this bill during the 16th Congress, it was approved unanimously by the committee. In fact, all the members of the committee expressed their support by becoming principal sponsors together with this representation. All the employees’ groups who participated in the hearings during the 16th Congress were excited about it because they realized it would give them a bigger share in the growing economy of the country,” Atienza said.Rep. Mark Go of Baguio City expressed support for Atienza’s bill.“Once you initiate this profit sharing scheme, you will also encourage people to improve their performance because they know that if they improve their performance, it will also improve the amount that will be shared among them by the end of the year. This is the most beautiful bill,” he said.Labor Undersecretary Bernard Olalia also backed the measure, citing Article 13, Section 3 of the Constitution as basis which mandates that “the State shall regulate the relations between workers and employers, recognizing the right of labor to its just share in the fruits of production and the right of enterprises to reasonable returns of investments, and to expansion and growth.”“We urge the participation of all sectors concerned. Let’s discuss this proposed law so that we are able to clarify issues at the committee level. Let us show the whole country that we are committed to providing more opportunities for our people who have suffered long enough,” Atienza said.",1
"THE ANGER GAMESI am already sated and inundated with anything that has got to do with Leila de Lima. To my mind she is already kaput, and her jailing is but a mere formality. And I have it on good authority that her arrest and incarceration is just a matter of time...What bothers me more are the forces behind her. Looking at her presscon yesterday reminds me of the LPheld last May 7 at the Quezon Memorial Circle. She is surrounded by the same coterie that has campaigned hard for Mar Roxas and Leni Robredo. Foremost is Karina Constantino David, who is the chief strategist of the """" slogan of RoRo.Obviously, these people are not fighting for truth, justice or the perceived harassment and shaming of de Lima.These people are working to bring down a legitimate government with a clear mandate. Why? Because they are the ones affected by the cleansing and purging that the present administration is valiantly pursuing.Because they are the elite and the oligarchy who lorded it over the past 30 years, and would not easily give up the power, wealth and influence they immensely enjoyed, at the expense of the ordinary citizenry.They are the same bunch who made our mundane lives more miserable.They are the ones who corrupted the system to milk it dry while we ended up with poor infrastructure and a perpetual cycle of mess and patch up remedy. Note that the remedy is always shortsighted and temporary because this is where they earn more.They are the leadership who manipulated the system so craftily to look good on the outside, but so hollow on the inside, like the favorite """" we like to munch but will have problems later with indigestion and tooth decay.They are the ones who drove our skilled workers to migrate elsewhere because they did not offer jobs here with decent wages.These are the same group of incompetent and uncaring leaders, headed by two pedigreed scions of landlords and political bigwigs who are so clueless of the true state of the nation, even as one of them became president out of sheer luck while the other and his mother was so desperate to become one but can't make the grade despite the billions they threw away.Aside from de Lima, we also have to be wary of other, and actually more sinister, lieutenants of this political machinery, that hides under the majesty of the legislature. We have to watch out for Franklin Drilon, Antonio Trillanes, Risa Hontiveros, Francis Pangilinan and Bam Aquino.They would like nothing more than to bring back the status quo, especially because their ineptitude as lawmakers are now unravelling.No matter how subtle they try to appear, their appearance and pronouncements betray their motives and intent, particularly their stance on the war on drugs and corruption, which they are vehemently opposing under the guise of human rights violation.The hypocrisy of their acts can't be denied, when they even attempt to legislate information dissemination and curtail the phenomenon known as social media.This is how brazen they are, not because they care for the republic and its citizens.All they care about is their self preservation, and to continue to provide a governance that perpetuates mediocrity, illiteracy and poverty.The subterfuge is so cunning that we keep on electing them. They want us to remain to be dumb, to be poor, and to be miserable because they are like vultures who want to feast on our carcasses.In a way, they are a dictatorship that do not dictate, but simply to govern in such a way as to foster apathy and indifference.In the last 3 decades, they have succeeded.Until now.Because the tipping point has arrived, this country is ready for an authentic upheaval. There is great sense of engagement never before embraced by a citizenry that has reached its peak tolerance and patience.It would be a gross mistake to ignore or to dismiss this outrage and to belittle it by the traditional manipulation that worked before.This time, it is vastly different.When the siren calls out, you can bet your life that change is not coming.It is already here.And we will fight to let it in completely.-----------------------Mark Lopez as posted on Facebook",0
"Everybody is talking about “polar vortex,’ the weather phonomenon that has brought extreme frigid temperatures in the mid and eastern sections of the United States. So is Sarah Palin.In a townhall meeting aimed at debunking claims of global warming, the former Alaska governor and vice presidential candidate said that the record winter weather currently being experienced by many Americans is proof that “the globe is not getting warmer as claimed by leftist environmentalists.” “As a matter of fact, the globe is becoming colder,” she added.When asked by an audience member what she thinks of the polar vortex, Palin said that environmentalists and citizens alike should do all they can to protect this endangered arctic animal.Apparently, Palin thought that polar vortex is one of the animals found in Alaska, Canada and other places in the arctic region like the polar bear, muskox, caribou and arctic fox.",0
"Opposition forces led by former President Benigno Aquino III and Vice President Leni Robredo gathered on Saturday at the site of the historic 1986 Edsa People Power Revolution in a show of resistance against the Duterte administration over what they described as threats to democracy, among them the brutal war on drugs and the Friday arrest of staunch Duterte critic Sen. Leila de Lima.Although he did not address the crowd, Aquino said the Edsa celebration this year should go beyond “mere remembrance.”“Perhaps this is a reminder to all of us that the fight is not over,” Aquino said, adding that “those who forget the past are doomed to repeat it.”Robredo, who also did not address the crowd, said in an interview that celebrating the Edsa event should remind the people of the power they wield.“We should not forget that power is with the people. Whatever we want to fight for, we can do it if we stand united,” she said.SolidarityWearing black to show solidarity with some 6,000 protestors at the People Power Monument in Quezon City, Aquino also rejected allegations by Duterte spokespersons that supporters of the previous administration were part of destabilization moves.“How can we be causing destabilization when we are actually offering to help?” Aquino asked.But the former President denounced the government’s shabby treatment of De Lima, a staunch critic of the drug war, who was arrested on Friday on drug charges based on testimonies by drug convicts.De Lima, Aquino’s former justice secretary, said the arrest was an act of “political persecution” and revenge for her decade-long efforts to expose Mr. Duterte as head of the Davao Death Squad during his term as city mayor.On Saturday morning, some 1,000 demonstrators trooped to Camp Aguinaldo to warn that the crackdown on drugs could foreshadow a repeat of the Marcos dictatorship that was toppled in a bloodless “people power” revolt 31 years ago.“We are taking the matter seriously. We are warning our people about the threat of rising fascism,” said protest leader Bonifacio Ilagan of the Campaign Against the Return of the Marcoses in Malacañang.Ilagan, a playwright who was tortured for over two years in a police prison under Marcos’ martial rule in the 1970s, cited the “culture of impunity” arising from the extrajudicial killings because of Mr. Duterte’s total war on drugs.Mr. Duterte, 71, won the presidential election last year on the campaign promise to eradicate illegal drugs by killing tens of thousands of people. Some 7,000 drug suspects have been killed in police operations and under murky circumstances, sources said.Across the city on Saturday, hundreds of Duterte supporters began gathering at Rizal Park in Manila for a planned overnight vigil to demonstrate public backing for the President’s drug crackdown.One of the banners at the site identified its owners as “Friends of Bongbong Marcos,” the dictator’s son and namesake whom Mr. Duterte had introduced as “possibly the country’s next Vice President” during his China visit last year.The younger Marcos had lodged an election protest against Robredo, claiming fraud in the computerized vote.Genuine changeThousands of left-wing activists meanwhile marched on the main highway in Manila to demand “genuine change” promised by the President, calling for the resumption of peace talks with Maoist-led rebels and release of more than 400 political prisoners.Former President Fidel Ramos and former Sen. Juan Ponce Enrile, hailed as the heroes of the 1986 revolution, attended a Mass at the main army base in Manila to mark the anniversary, which Mr. Duterte skipped.Earlier on Saturday, riot police had hosed down a group of at least 100 people protesting the drug killings at the US Embassy in Manila, though no one was seriously injured.At La Salle Green Hills chapel in Mandaluyong City on Saturday afternoon, an ecumenical Mass on Saturday to mark the Edsa revolution’s 31st year ended with the “Oratio Imperata” (obligatory prayer) to end extrajudicial killings. The prayer is usually invoked for calamities.The Mass, celebrated by Fr. Jose Ramon Villarin, was attended by the laity and members of civil society groups who later proceeded to the People Power Monument.“Let us express our opposition against violent ways which do not recognize our human rights. At every turn, let us protest all forms of authoritarianism. Let us make a stand for the return of people power, of our faith in our ability to change and better our country through peaceful and humane means,” the De La Salle Philippines president, Brother Jose Mari Jimenez, said during the homily.Blues, greens, yellowsA group of nuns led by Sr. Regina Kuizon of the Association of Major Religious Superiors of Women in the Philippines also read a statement calling for political unity: “Today, there are blues, there are greens, there are yellows, and God gave us a multitude of colors to celebrate … a God who tells us to love your enemies and pray for those who persecute you.”Several opposition political figures affiliated with the Liberal Party also attended the Mass, among them Robredo and Senators Bam Aquino, Franklin Drilon, Francis Pangilinan and Risa Hontiveros.Civic ignoranceMeanwhile on Friday, constitutional expert Christian Monsod warned students at a forum at the University of the Philippines School of Economics against “civic ignorance” that breeds tyrants.“[If] we do not do anything about it and prefer to live with our frustrations about who is accountable for things that go wrong, someone will eventually come and say, ‘I will solve all your problems if you give me total power,’” the former Commission on Elections chair said.“And we will give it to him. That’s when democracy dies,” Monsod said, paraphrasing the words of former US Supreme Court Justice David Souter five years before US President Donald Trump and Mr. Duterte came into power.“We are told by the present government that the problem of our country is imperial Manila, hence the need to shift to federalism,” he addedBut Monsod acknowledged: “I submit that we have failed in development not because of the Constitution, but because we have not fully implemented it, especially its provisions on social justice and on local autonomy. The Constitution is not the problem, it is part of the solution.”Monsod described Mr. Duterte as an enigma because of “inconsistent messages and behavior, language that the civil society does not accept, inability to dialogue because he is not a good listener and muddled governance because of ad hoc or case-to-case decisions.”Even so, he said he was convinced that the President’s heart “is with the poor.”“His propoor agenda is correct, but the means he wants to use are wrong,” Monsod said, referring to drug-related killings.For all the promise of a new social order that the 1986 Edsa revolution represented, Monsod said it ended in failure. “[As] we went our separate ways with our separate causes, we lost something of the dream of a nation and the significance of interconnected lives,” he said.“You may ask—have we failed Edsa? My answer is yes,” Monsod said.",1
"On President Rodrigo Duterte’s 100 days of office, he distributed equipment tofarmers and fishermen worth P100-million in the Province of Basilan along withAgriculture Secretary Manny Pinol.The machinery included cassava granulation, corn mills, tractors, corn and rice seeds, fertilisers, seaweed farming tools and Fiberglass fishing boats.Aside from the equipment, he was also able to provide interventions that are estimated to be worth P1-billion as he aims to focus on production of food and wiping out poverty on provinces.Upon the distribution, people from Basilan burst into tears as they received the 70 units of the 1,000 Fiberglas fishing boats together with engines, fishing nets, hooks and line.Meanwhile, the farmers were given first of the 7 units of 4-wheel drive tractors which will be used in farming of cassava and corn particularly in places affected by cocolisap.",0
"If they don’t shell out P30,000 for the dropping of a case for possession of a bullet against her stepson, the price would rise to P80,000 if the matter reaches police headquarters, according to the stepmother of an American missionary, who allegedly fell prey to the “tanim-bala” (bullet-planting) scheme at Ninoy Aquino International Airport (Naia).Eloisa Zoleta and her stepson, Lane Michael White, recounted to the Senate Thursday their experience at Naia in September after security officials allegedly found a bullet in his bag.Police officers told them to pay P30,000 for dropping the case against White, even as they pressed them to admit to the owning the bullet.But the pair refused to settle the matter and insisted on White’s innocence.At the time, the family was on the way to Coron, Palawan province, to scout for land on which to build a church.Zoleta said a bullet was found after White’s bag passed through the X-ray machine several times.Nothing was detected when the bag was first checked, but after screening officer Maria Elma Cena allegedly put her hand inside the flap of White’s bag, the bullet was discovered in the next X-ray scan, she said.After they were informed of the discovery, Zoleta asked the screening officers if she should have their flights to Coron moved. They told her it would be an easy matter, a remark that she found baffling if there really had been a violation of the law.“The screening officers said, ‘That’s OK. It would be easy,’” she said, adding that Cena even told her that the flight wasn’t even until 12:45 p.m.“I was thinking that if it was really the law and there was one ammo found in the luggage, shouldn’t their answer be that we wouldn’t be able to go to Coron because they would jail my son? Shouldn’t that be the answer if they were implementing it?” she said.White was subsequently brought to the office of the Philippine National Police, while Zoleta tried to take care of their tickets.Police officer JunioShe said a PNP officer she identified only as “PNP officer Junio” asked her about what had happened. After explaining, Junio told her about paying for the dropping of the case, she said.“Usually we let the possession of such items pass. We just say it’s an amulet. If we negotiate that here, it (will cost you) P30,000. But if it’s passed on to headquarters, it’s P80,000,” Zoleta recalled the police officer as saying.Preacher with no salaryHe also asked about her husband’s job and she informed him he was a preacher who did not receive a salary. The officer also asked about White’s job and she told him he had resigned from his job.Their conversation ended then because Zoleta’s brother called her up, and she never saw the police officer again.White also said a police officer, Rolando Clarin, had told him he could pay P30,000 or face the prospect of jail. But he said the bullet was not his and he did not have the amount.Zoleta said the officers had tried to convince them to own up to the bullet possession.She said another officer had appealed to her to help White, as he was a foreigner and his life could be ruined.PregnantAnd as they were about to head for White’s inquest, Zoleta said Cena came up to her and told her that she could have just admitted to carrying the bullet since she was pregnant, and there was a humanitarian law.“I responded to her, ‘ma’am, why would I admit it?’ I know that’s the easier way out to say it’s ours and I’m pregnant, but I told her we’re Christians. We can’t lie about a small thing just to find an easy way out,” she said.UnprofessionalZoleta also said the screening officers lacked professionalism and courtesy when dealing with them.She also recounted that she started taking videos, upon her brother’s advice, after the bullet was found. Her camera was not hidden and was near her armpit, she said.When the screening officers learned that she had taken videos, they seemed surprised she said. She also recalled that Clarin had warned her not to take videos, and that he would fine her if she did so.Zoleta and White were among the air passengers invited to the Senate, which is looking into allegations that a syndicate planting bullets in passengers’ bags to extort money from them was operating at Naia.OFWAlso present at the hearing was overseas Filipino worker (OFW) Gloria Ortinez, who is now unsure of whether she still had a job waiting for her in Hong Kong.Ortinez had been detained and faced a complaint after a bullet was supposedly found in her bag. The case against her was dismissed, but there is no certainty yet if her employer would take her back.Ortinez also recalled that after the bullet was found, the X-ray personnel brought her to a room that had men in white uniform.Made to sign documentShe said she was asked to sign a document and she initially refused, she was told she would be handcuffed if she would not follow the order. She was not made to read the document, but she eventually signed it, she said.She also said the officers had tried to convince her to admit that she owned the bullet.Finger-pointingSenators took to task aviation officials for “finger-pointing” when asked to provide them the closed-circuit TV (CCTV) footage of the inspection of White’s bag.The footage was necessary for White’s case. The National Bureau of Investigation requested copies, but it has yet to get these.Rolando Recomono, chief of the Office for Transportation Security (OTS), said the CCTV footage was not under his office’s jurisdiction and was with the Manila International Airport Authority (MIAA).But MIAA general manager Jose Angel Honrado said it was with the OTS.“Which jurisdiction does it fall under? Janitorial offices?” asked Sen. Teofisto Guingona III, chair of the blue ribbon committee.“How will the victims get justice now?” Guingona asked.Honrado eventually said MIAA had custody of CCTV footage taken at the airport as it was operating the cameras. He also said the OTS had a copy of the footage.MIAA has not provided copies to the NBI as the bureau made the request to the OTS, he said.“This is a clear case of finger-pointing,” Guingona said.Passenger’s sideIn another development, Sen. Alan Peter Cayetano castigated officials for not getting the side of the air passenger, who complained of being victimized by the supposed bullet-planting scheme.Zoleta said nobody from the OTS or the aviation offices got in touch with her, and Cayetano pointed to the promise of transportation officials that they would investigate the allegations.Transportation Secretary Joseph Emilio Abaya said he believed the complainants were not guilty and had no intent to violate the law.But Abaya also said the investigations were ongoing. The probe has been turned over to the Aviation Security Group, which then coordinates with the prosecutor. This is the judicial process, he said.Cayetano said the case should not enter the judicial process until the side of the passengers, who claim they fell prey to the bullet-planting scheme, was heard.“If they weren’t even asked and they complained, so at that level, there was no due process,” he said.If the passengers had not gone to the Senate, the officials would not have heard their side, he added.",1
"There will be no break for Metro Manila policemen during the holidays.Metro police chief Oscar Albayalde on Saturday said policemen in Metro Manila were not allowed to take a leave during the Christmas season.Albayalde declared a “no break policy” for the five police districts in Metro Manila to ensure a high level of police visibility.District directors were ordered to deploy policemen in Catholic churches to protect the faithful from criminals and terrorists.Albayalde also ordered police officers to strengthen their safety and security measures. He said the police will be on “full alert” during the holiday season.Albayalde’s order is in line with President Rodrigo Duterte’s statement that he will not order the Armed Forces of the Philippines (AFP) and the Philippine National Police (PNP) to stop operations against the New People’s Army (NPA), the armed unit of the Communist Party of the Philippines (CPP) during the celebration of Christmas and New Year.The head of the National Capital Region Police Office (NCRPO) called on the public to report suspicious individuals to the police.“We encourage the public to welcome the presence of our police in areas they frequent for prayers or shopping however, report any suspicious individuals or groups so that we can immediately extend police assistance,” Albayalde said in a statement.He warned that police personnel who would be reported for misconduct by civilians will be held responsible by their supervisors.“I reiterate also my previous instruction that all immediate supervisors will be held responsible for the deeds and misdeeds of their personnel,” Albayalde said.According to Albayalde, police inspections in crime-prone areas will be conducted by his office and its “Red Teams” at any given time. He said they would also conduct “Oplan Sita,” an operation against motorcycle-riding criminals.“Likewise, I also ordered the maximized deployment of our Special Reactions Units for Oplan Sita in critical or crime-prone areas,” the police official said.He called on police personnel to celebrate the Christmas season where they are assigned since no holiday break would be given to them.“We will celebrate with the community where we are assigned,” Albayalde said.WITH RJ CARBONELL",1
"Rhode Islanders feel slighted that Bostonians get all the glory for helping spark the American Revolution with the Boston Tea Party. After all, more than a year before any tea was tossed, Rhode Island colonists burned a British ship.Saturday is the 246th anniversary of the day a local ship captain lured the British schooner HMS Gaspee into shallow waters a few miles south of Providence, where it ran aground. A smaller model of a ship will be burned Sunday to commemorate the forgotten act of rebellion.U.S. Sen. Sheldon Whitehouse often recounts the story of how colonists waited till night fell, rowed out to the stranded Gaspee, shot the ship’s captain and burned the boat. It’s a cool story about an extraordinary act, said the Rhode Island Democrat. By comparison, he said, Massachusetts patriots mustered the courage to push tea off the deck of a British boat more than a year later.“It’s going to be a long, slow process to try to correct 240 years of the Massachusetts megaphone, but I think it is important to stick up for historic deeds that were done by Rhode Islanders,” said Whitehouse, who spoke about the Gaspee Affair Monday on the Senate floor.Many Rhode Island residents feel similarly aggrieved.Historians say the affair reignited patriotic fervor at a time when it had cooled off, and emboldened Bostonians. The chief historian at the recently opened Museum of the American Revolution in Philadelphia believes Rhode Islanders have a legitimate point about its importance being overlooked.“There’s a period where there’s hope that maybe things could simmer down, but right in the middle of it, this Gaspee Affair happens,” Philip Mead said. “It’s really a foreshadowing of what will happen with the Boston Tea Party, because both sides react very strongly to each other.”Seth Rockman, who teaches at Brown University in Providence about the Revolution, thinks people should know more about the Gaspee Affair. But the fact of the matter is, he said, it’s not as important as the Boston Tea Party, which set so many more events in motion after it happened in December 1773.“On the one hand, yes, a full accounting of the coming of the American Revolution should probably draw attention to the Gaspee as a significant moment,” he said. “On the other hand, should people in Rhode Island be worked up about it?”The Gaspee was sent to Narragansett Bay in 1772 to enforce trade laws. The colonists were soon fed up with the Gaspee and its captain, Lt. William Dudingston, stopping ships and disrupting trade, especially after rum was seized from local merchant Jacob Greene, said Steven Park, who wrote a book about the affair.The Gaspee ran aground on June 9, 1772. Colonists in Providence heard the news and rowed out to it. Later, no one would tell King George III who set fire to the ship. The Sons of Liberty in Boston politicized the event to resist the British government, Park added.Many historical texts were written in Boston immediately after the war and focused on Massachusetts. The now-famous revolutionary figures schoolchildren learn about weren’t involved in burning the Gaspee.“Even though we might not go so far as to say the Gaspee needs to replace the Tea Party in American consciousness, I think we can agree that those advocating for more attention for the Gaspee are right,” Mead said.The nonprofit Gaspee Days Committee marks the anniversary annually with the model-ship burning and other events in Warwick. The crew of the Gaspee was brought ashore in Pawtuxet Village in Warwick as their ship burned.“I would hope there never comes a day this legacy is not carried on,” said Ryan Giviens, committee president. “Were it written in the textbooks, it would be easier. So as long as it’s not, we’re going to keep spreading the message ourselves.”",1
"Unlike earlier Moro raids, Maute extremists appear to have “upgraded” their weapons, logistics and tactics, making it more difficult for the military to end the two-month battle for Marawi City.“Compared to previous encounters with the Maute group, this one in Marawi is an upgrade,” 1st Lt. Kent Fagyan told members of Congress during its special session on the extension of martial law.The 29-year-old Army officer, who wore an armsling because of a combat injury, was presented to lawmakers by Executive Secretary Salvador Medialdea upon questioning by Sen. Richard Gordon.“They have many 50-cal. [guns], radio frequency scanners. They have drones and their ammunition appears to be unlimited,” said Fagyan, who led a reconnaissance company of the 1st Infantry Division.Fagyan said he based his assessment on his experience from the three-week siege of Zamboanga City in September 2013, and the Maute group’s raid on Butig, Lanao del Sur province, in November last year.Improved tacticsAside from improved weapons and logistics, the extremists also improved their tactics from when they were just a bandit group in their Butig hometown.“What we’re doing is really difficult. As much as possible, we avoid casualties, but the enemy is good, too,” Fagyan said.They chose an urban target with commercial and residential buildings higher and closer together as compared to other places in Mindanao, he said.From elevated defensive positions, the extremists can pick off soldiers out in the streets, so troops have to make holes in the walls of houses which they then use to sneak through the city labyrinth.“The houses are near each other so we have to observe first if there are enemies. If there’s resistance, we use tear gas,” Fagyan said, adding they had also had to use recoilless rifles and grenades.The extremists were also known to leave booby traps inside a building they had previously held and Fagyan related how he and his men were almost killed when one of his men sat on a bomb rigged in a chair.Fagyan also thanked the public for their support for the military.“On behalf of my colleagues who are still fighting in Marawi, we would like to thank you for helping us because we can feel that we are not alone in fighting the enemy,” he said.“We thank you for sending clothes [and] water. It’s a big help because when you’re in the zone, you can’t eat on time. You can’t sleep because you will be awakened by gunfire here and there,” he added.",1
"The Commission on Population (PopCom) on Monday said the Food and Drug Administration (FDA) approved all 51 contraceptives up for certification and recertification including Implanon and Implanon NXT.Resolution 2017-302 dated November 10 shows that all 51 contraceptives up for certification and recertification have been approved.Among the approved contraceptives were Implanon and Implanon NXT, which in effect would lift the 29-month temporary restraining order (TRO) of the Supreme Court (SC) in the case of Alliance for the Family Foundation Philippines Inc. against then-Health Secretary Janette Garin et al. in 2015.Under a “sunset clause,” the TRO will be lifted if the FDA complies with the mandate of the High Court and certifies Implanon and Implanon NXT as non-abortifacients.PopCom Executive Director Juan Antonio Perez welcomed the approval of the FDA on the 51 contraceptives, saying the decision “could not have come at a better time” as they can soon procure supplies for public use.“This could not have come at a better time as depleted contraceptive supplies will now be augmented by over two hundred thousand implants. Annually, one million women become new acceptors of modern family planning methods,” Perez said in a statement.“The lifting of the TRO will allow the DoH [Department of Health] to start procuring commodities from its 2017 budget. All Filipinos working for women’s health should rejoice in this development,” he added.Earlier this month, Perez said in a news conference that the full implementation of the Responsible Parenthood and Reproductive Health Law (RPRH) is now “on track.”“The FDA will declare contraceptives as non-abortifacients, lifting the TRO. Full implementation of the RH Law is now on track,” he said in the news briefing.The DoH also welcomed the decision of the FDA, saying it has been compliant with the SC and determined abortifacient from non-abortifacient using best available scientific evidence.Health Secretary Francisco Duque 3rd said the DoH is committed to implement the RPRH Law as it is their job to give Filipino families access to appropriate family planning services.“We assure everyone that the full and strict implementation of the RH Law which President Duterte ordered earlier this year will be fair, even-handed and not adversely affect our people’s health,” Duque added.The PopCom and the FDA are both agencies under the DoH.",1
