article,label
"The United States was aiming for the “grand slam” at this year’s Miss World beauty pageant, focused on winning the crown to add to the Miss Universe title won earlier this year by Miss U.S.A. Olivia Culpo.Olivia Jordan (yes, another Olivia), U.S.A.’s entry to this pretigious pageant held over the weekend in the Indonesian resort of Bali, made it to the top 10 contestants during Saturday’s finals, but not to the top 5.Miss Philippines, Megan Young, an early favorite in the competition, went on to win the title, the first ever by a Filipina in Miss World’s 62-year history. Miss France was first runner-up and Miss Ghana came in third.Less than 24 hours after the pageant finals, the U.S. filed a formal protest with the Miss World pageant organizers, saying that Young should be credited as a U.S. entry as well. Young was born in the United States to an American father and Filipina mother, but moved at age 10 to the Philippines where she is currentlly a model, actress and television host. “Technically, she is also Miss U.S.A,” the protest document indicated. “Even her surname is very American. Can’t she be at least declared as a ‘dual contestant’ by virtue of her dual citizenship?” it added.Miss World owner Julia Morley has not returned calls from The Adobo Chronicles seeking comment on the U.S. protest.",0
"A campaign launched by followers of Maria Ressa, Jover Laurio and RaissaRoblesWho knows what other #hashtag campaigns will follow suit?",0
"Representative Gary Alejano has a lot of time on his hands.Just after returning from The Netherlands where he and Senator Antonio Trillanes submitted a complaint against President Duterte before the International Criminal Court, the Akbayan Partylist Representative now wants a name change for the Philippines.Under House Bill 5867, Alejano proposed the creation of a “Geographic Renaming Commission” which would “study the possibility and the feasibility of renaming our country.”The lawmaker, a former Marine captain turned mutineer, said the possible name should “appropriately address and define us as a people and nation.”Alejano explained that renaming the country would rid it of the vestiges of colonialism; establish the national identity; and define how the nation, people, and national language would be addressed internationally.So, in order to assist the future commission (which will have a budget of P30 Million) in coming up with a final decision, The Adobo Chronicles is conducting a nationwide poll on what our readers think would be the best and most appropriate new name for the Philippines.We propose the following five names:Kingdom of Lapu-LapuAdobo RepublicBaboy-an IslandsLaylayan IslandsFacifica FalayfayPlease vote in our poll:",0
"The provincial board of North Cotabato on Tuesday placed the entire province under a state of calamity due to natural and man-made calamities that hit the province this year.Board member Rolly Sacdalan said the provincial council passed Resolution No. 10 in response to recommendation by the Provincial Disaster Risk Reduction and Management Council (PDRRMC).Sacdalan said the province was hit by both floods and armed hostilities perpetrated by outlawed elements that led to the displacement of civilians.Hit by calamities were Kidapawan City and the towns of Makilala, Pigcawayan, Tulunan, Kabacan, Pikit, Carmen, Alamada, Magpet, and Antipas.The calamities affected more than 10,000 farmers and destroyed crops and infrastructure amounting to P400 million.Among the man-made calamities that hit the province was the attack by outlawed Bangsamoro Islamic Freedom Fighters in Malagakit town that left two persons dead and about 3,000 villagers displaced.The attackers also vandalized a chapel in Barangay Malagakit, Pigcawayan, North Cotabato.Floods also hit the villages in the borders of North Cotabato and Maguindanao due to torrential rains affecting Mindanao in June and July.In January this year, more than 100 inmates of the North Cotabato District Jail escaped after gunmen attacked the jail facility to rescue comrades from detention.",1
"SENATE Minority Leader Franklin Drilon and Sen. Juan Miguel Zubiri believe that the Senate’s version of the Bangsamoro Basic Law is “more compliant” with the Constitution than the bill passed by the House of Representatives.Drilon on Saturday identified at least 10 major differences between the two measures that must be ironed out during the bicameral conference committee meeting.Zubiri, chairman of the Senate subcommittee on BBL, who sponsored the passage of Senate Bill 1717, said the bicam meeting to reconcile the conflicting would be held from July 9 to July 13.The Senate contingent in the bicam is composed of Senators Juan Edgardo Angara, Aquilino “Koko” Pimentel, Sherwin Gatchalian, Joel Villanueva, Francis Escudero, Loren Legarda, Risa Hontiveros, Francis Pangilinan, Drilon, and Zubiri.The Senate and the House passed their respective BBL measures that will abolish the Autonomous Region in Muslim Mindanao (ARMM) and replace it with the Autonomous Region for the Bangsamoro (ARB) before Congress adjourned on May 30.“I strongly believe that our version is more compliant to the provisions of the (1987) Constitution,” Drilon said in a radio interview.“For example, in one of my amendments I said that all those residing in the Bangsamoro (region) are citizens of the Philippines. That’s one of the requirements to make it constitutional,” he said.Asked whether the Senate version must prevail over the House version, Drilon said, “It is up to the [Senate] majority [bloc]. I don’t have the control.”“I think our version, with due respect to Congress, will pass the test of constitutionality if someone questions it before the Supreme Court,” Zubiri said in another radio interview.“They (senators) always add the phrase ‘within the framework of the 1987 Constitution,’ in the almost 150 amendments that they introduced to address issues on constitutionality,” he added.Drilon said the Senate’s version maintains the 39 municipalities in North Cotabato as part of the territorial jurisdiction of the ARB. The House version deletes the 39 municipalities as part of the core areas that comprise the ARB.“This could be a sticky point that both chambers should be able to smooth out when it goes to the bicameral conference committee for reconciliation,” he added.He proposed various amendments to the Senate version “in order to make sure that the measure will not suffer the same fate as the Memorandum of Agreement on the Ancestral Domain (MOA-AD),” the proposed BBL crafted under the Arroyo administration.The Senate adopted the changes to the powers to be given to the Bangsamoro proposed by Drilon, deleting provisions pertaining to the “reserved, concurrent and exclusive powers” of the Bangsamo government and removing the powers to conduct inquiries, in aid of legislation, and subpoena powers of the Parliament to be headed by a chief minister.The House version retained the provisions on reserved, concurrent and exclusive powers.In the version of the House of Representatives, the province of Palawan is included in the list of areas considered as historically part of Bangsamoro territory.The Senate also added a provision stating that the Bangsamoro people are citizens of the Philippines pursuant to Article 4 of the Constitution, an amendment pushed by Drilon. The said provision is absent in the House version.Drilon said the Senate and the House must “work hard” to reconcile their differences pertaining to the share of the national government of taxes collected in the Bangsamoro, other than tariff and customs duties.The House proposed 25% share for the national government and 75% for Bangsamoro, while the Senate wanted a 50-50 sharing.Also among the “sticky issues” that both chambers will have to reconcile is the prohibition on political dynasties, which is highly opposed by the Bangsamoro Transition Commission (BTC).The Senate version prohibits a party representative from being related within the second degree of consanguinity or affinity to a district representative or another party representative in the same Parliament. There is no counterpart provision in the House version.The Senate also provided a qualification on the “block grant” which states that when the national government incurs an unmanageable public sector deficit, the President of the Philippines is authorized, upon the recommendation of the Department of Finance (DoF) and Department of Budget and Management (DBM) secretaries to make the necessary adjustments in the block grant. The House version does not contain such a provision.The Senate version also prevents the Bangsamoro Parliament from including the procurement of firearms, ammunition and explosives in its annual appropriations law. The House version does not contain such a provision.The Senate proposed detailed provisions on the Bangsamoro Regional Police, including the selection of a regional director by the chief minister from a list of nominees submitted by the Philippine National Police Senior Officers Placement and Promotion Board.In the House version, it is the secretary of the Department of the Interior and Local Government (DILG) who will appoint the regional director.The Senate also removed a provision for the creation of Shari’ah Judicial and Bar Council (JBC), which will recommend nominees to the Shari’ah Courts. The House retained the provision.",1
"It was Kris Aquino’s dream gig. A big way to stage her comeback from her on-again, off-again retirement from show business.When the Miss Universe Organization announced its search for a Filipino female co-host for the pageant finals to be held in Manila on January 29 (January 30 Philippine time), the former presidential sister and “Queen of All Media” immediately signed up to audition for the prized gig.Today, Aquino received a text message from the organization that she has not been selected to be Steve Harvey’s co-host.The disappointing news became even more devastating when she learned that the person chosen to co-host the show is entertainer-turned-politcal blogger Mocha Uson.In an exclusive interview with The Adobo Chronicles, a spokesperson for the Miss Universe Organization who spoke on condition of anonymity said that despite the two ladies’ almost equal talent, Uson was chosen because of her popularity (she has over 4 million Facebook followers). Additionally, the pageant executives wanted someone who looks like a beauty queen and whose features closely represent the Filipina beauty.So ladies, if you want to increase your chances in show business, forget the skin-whitener and hair dye. You’re beautiful as you are. Naturally.",0
"Whether the powerful Commission on Appointments (CA) will confirm Regina Lopez’s appointment as secretary of the Department of Environment and Natural Resources (DENR) will be known today, Wednesday, but two senators already expressed support for her.Senate Majority Leader Vicente Sotto 3rd and Sen. Emmanuel Pacquiao on Tuesday said they would vote in favor of Lopez’s confirmation because they want to have an environmentalist leading the DENR.Pacquiao, who heads the CA committee on environment and natural resources, said Lopez’s chances of being confirmed by the commission remain “50-50.”“Meron ayaw, meron gusto, iba iba eh hindi naman natin makuha kung ano ang desisyon nila [There are those who are for her confirmation and some are not, they have different views and it is up to them],” he added, referring to members of the CA.When asked if he would vote in favor of Lopez, Pacquiao said there is no reason for him not to because he considers the DENR secretary as his partner in protecting the environment.“Why would I not support her? We’re together. Were both environmentalists,” he added.Lopez faced the members of the CA committee on environment on Tuesday for her to shed light on various issues raised by those opposing her appointment.The DENR secretary assured the CA committee that she would not do anything illegal in the department.“I want to assure the commission that I’m a law-abiding citizen. I will never do anything in the DENR that is against the law,” Lopez said.The CA committee terminated its deliberations on Lopez’s appointment and will meet today to decide if it would endorse her nomination to the floor.Sotto said that he would vote for the confirmation of Lopez because he believes that she would be “good” for the department.He noted that there are no corruption issues hounding Lopez.“Among the issues against her is that she does not know how to sing? Is that enough to disqualify a Cabinet member?” Sotto said.",1
"In her syndicated column Wednesday, conservative columnist Ann Coulter delivered what many consider to be the harshest judgment ever of the sport of soccer. Her piece comes right smack in the middle of the FIFA World Cup in Brazil. She was obviously going for the ratings.“No American whose great-grandfather was born here is watching soccer. One can only hope that, in addition to learning English, these new Americans (referring to immigrants) will drop their soccer fetish with time,” Coulter began her sourgrape rant. She described any growing interest in soccer to be a sign of the nation’s moral decay.She then continued by belittling soccer moms. “Liberal moms like soccer because it’s a sport in which athletic talent finds so little expression that girls can play with boys,” she said.Well, it turns out that Coulter’s hatred for soccer began many years ago when she started dating men. Coulter has been engaged several times but never married. All her fiancés cancelled their engagement with her and left her for … young soccer single moms.Now you know.Here’s Coulter’s column.",0
"Some 200 applicants, out of the 500 job seekers, were asked to report to various agencies for further assessment after passing the initial screening during the first Jobs Fair for Senior High School graduates at the provincial gymnasium here on Thursday.The Jobs Fair, organized by the provincial government in partnership with the Department of Education (DepEd) Division of Cavite, offered more than 3,600 job placement opportunities from its 13 participating companies in the field of manufacturing, production, retail, merchandise, exporting and process outsourcing.Cavite Schools Divisions Superintendent Cherry Lou D. De Mesa said the jobs fair served as a venue to inspire and motivate new graduates and job seekers to have a good perspective in life with decent opportunities coming their way.Aside from job opportunities, applicants also took advantage of the government caravan to inquire or apply for their Social Security System (SSS), PhilHealth and Pag-IBIG fund numbers, some of the basic employment documentary requirements.Aside from DepEd, Thursday’s event was also attended by personnel from Cavite Office of Public Safety (COPS), Provincial Information and Community Affairs Department (PICAD) and General Services Office.",1
"(Last of two parts)THE PIONEER cohort of senior high school (SHS) students started enrollment nationwide today, a month earlier than the rest of the basic education students.Education Secretary Armin Luistro, FSC, said the early enrollment would give his department time to make necessary adjustments should the number of Grade 11 students turn out much larger than the preregistration count in October last year.All of their preparations, he said, have been based on the preregistration data, particularly those relating to school and track preferences of the students.The Inquirer ran the first part of this primer on Sunday to fill the gaps in information among parents, present and future SHS students, and the general public about the last two grades in the K-12 education reform. Here is Part 2.What are the core subjects?The SHS curriculum is made up of core subjects in eight learning areas that all SHS students will have to take, as well as applied and specialized track subjects which will be dictated by the track and the strand that a student chooses.These are Oral Communication, Reading and Writing, Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino, Pagbasa at Pagsusuri ng Iba’t Ibang Teksto Tungo sa Pananaliksik, 21st Century Literature from the Philippines and the World, Contemporary Philippine Arts from the Regions, Media and Information Literacy, General Mathematics, Statistics and Probability, Earth and Life Science, Physical Science, Introduction to Philosophy of the Human Person, Physical Education and Health, Personal Development, and Understanding Culture, Society and Politics. For the students under the Science, Technology, Engineering and Mathematics (STEM) strand, Earth Science replaces Earth and Life Science and Disaster Readiness and Risk Reduction replaces Physical Science.Why are they not familiar high school subjects?They are not because the more familiar subjects are in junior high school. The SHS curriculum has been integrated with some subjects in the College General Education curriculum with the approval of the Commission on Higher Education, which subjects will be deleted from the college curriculum so students may focus more on courses relevant to their degree programs.What are SHS tracks?SHS tracks are specific areas of study much like college courses and they fall under four disciplines, namely, Academic, Technical-Vocational-Livelihood (TVL), Sports, and Arts & Design. These are the subjects that will give you the competencies and advanced skills required in college or tech-voc education, entrepreneurship, employment and, most important, life.The Academic track has four strands: Accountancy, Business and Management (ABM); Science, Technology Engineering and Mathematics; Humanities and Social Sciences (HUMSS); and General Academic (GAS).The TVL track also has four strands: Home Economics (HE), Information and Communication Technology (ICT), Agri-Fishery Arts and Industrial Arts.How do students select a track?Students should ask themselves this question: What do I want to do after high school graduation? SHS is supposed to help lead students toward a career path.Laurd Menhard Bautista Salen of Barangka, Marikina City, who preenrolled at Technological Institute of the Philippines in Quezon City, has chosen the HUMSS strand under the Academic track because it “will develop the reading and writing skills that will prepare me for college where I’m going to take up mass communications.”Jay Anne Torres Cipriano of Olongapo City preregistered for STEM under the Academic track at The Manila Times College of Subic “to have sufficient fundamentals in engineering because I’d like to pursue geological engineering in college.”Kristin Hans V. Santos of Bocaue, Bulacan province, preenrolled in ABM at Manila Central University in Caloocan City because she wants to be “a successful businesswoman someday.” She believes “the world changes because of the business people who manipulates it.”Ronn Jayvier M. Gonzales will be taking the ICT strand under the TVL track at System Technology Institute (STI) in Balagtas, Bulacan province, because “I want to learn new things” and he thinks information technology “will lead me to a successful life.”The most flexible strand, according to Department of Education (DepEd) Assistant Secretary Elvin T. Uy, is the GAS because it will allow students to try one or two subjects in the STEM, one or two in tech-voc, and other electives for which the SHS has the facilities and the teachers.Campaigns to encourage students to go into the STEM have not had salutary effects on incoming Grade 11 students. Based on preregistration data, only 8 percent chose the STEM strand. But here is the good news: 40 percent will follow the tech-voc track.How can SHS students study so many core subjects and track subjects in just two years?“Think in terms of semesters,” Luistro said. Students will be taught different core subjects every semester. They will also choose different electives every semester. Some subjects will require two quarters only.It is a misconception that the SHS curriculum is congested, according to Uy. Just like in Grades 1 to 6 and Grades 7 to 10, there are eight subjects in Grades 11 and 12.“But just like in college, the lineup of subjects changes every semester,” Uy said. Students can have, for example, four core subjects plus three specialized subjects in one semester.Why aren’t all SHS offering all the tracks?Schools can only offer tracks where they can optimize their facilities and teaching resources as well as best meet the local community’s demands. If their selected tracks are not available in the public school where they finished Grade 10, students can either go to another public SHS or use their vouchers to go to a private or non-DepEd school offering their tracks.What happens when a student changes tracks?The DepEd advises students and parents to weigh the possibilities and consider the consequences of changing tracks. To illustrate: A student who chooses the STEM takes up in the first semester four core subjects, an applied subject and a specialized subject, say, Basic Calculus. In the second semester, she decides to shift to the Art and Design track. What will happen is that the four core subjects will be credited but the Basic Calculus will not be credited under Arts and Design, so in effect she will have one back subject. If the school offers that back subject in the second semester, no problem. If not, she might have to take it in the summer or it is possible her studies will be delayed.What about the teacher requirements?The DepEd is hiring more than 36,000 teachers out of the 47,000 who applied to teach in SHS. The department started accepting applications in October last year and, after screening, started hiring two months ago. Uy is confident there will be no teacher shortage. Hiring is not limited to licensed teachers. Luistro said they would welcome experts and practitioners to teach the specialized subjects part-time.Teacher training, which is ongoing, is specific to specialization. For the Academic track, the DepEd is working with colleges and universities and centers of excellence. For the TVL, it has partnered with Technical Education and Skills Development Authority. For the Sports track, the department has teamed up with Philippine Normal University, which has a good sports education program. And for Arts and Design, the DepEd tapped the National Commission for Culture and the Arts.Why should students bother with SHS?For students with typical Filipino parents, the most compelling reason is that without the SHS diploma, they cannot be admitted to a university.For students who must earn a living right after or even during SHS, more employment opportunities will await them for several reasons. For one, partnerships with different companies for tech-voc courses will give students actual work experience that may lead to immediate hiring.For students who are being groomed to run the family business or are interested in starting their own business, SHS offers an entrepreneurship subject that will give them the competencies to create a marketable product, design a business plan, understand manpower, materials and markets, among other things.What should Grade 11 students and their parents prepare for when school opens?They should be prepared for birth pangs that accompany a pioneering effort.",1
